"Gene_Name","logFC","PValue","FDR"
"COL9A3",5.420403939431,4.76230991495492e-27,5.80573201732154e-23
"PEX5",7.26099960271355,9.81377457122403e-26,5.9819862898896e-22
"CCL5",5.85468422693904,1.62998701359507e-25,6.62372389424584e-22
"PGM1",5.29232955080467,3.90691815303528e-25,1.04018892803247e-21
"KIAA1109",4.46314925460911,4.26621658613924e-25,1.04018892803247e-21
"SPATA33",3.60253611116302,6.60124161830879e-25,1.34126227614671e-21
"RPL26L1",4.0268422269978,7.91779000151225e-25,1.37893968440623e-21
"ARF5",-5.78433262022137,4.93946901821369e-24,7.52713335013039e-21
"G3BP2",4.43959048156372,7.34234351516602e-24,9.43560128068728e-21
"UVRAG",-3.93550159025032,8.54484845567612e-24,9.43560128068728e-21
"RIOK3",-2.48878364165455,8.94715913368487e-24,9.43560128068728e-21
"MIEN1",-2.85719086943645,9.28777092676953e-24,9.43560128068728e-21
"AZI2",-2.6707014695012,1.53091907336994e-23,1.43564880180407e-20
"DIP2B",13.9509191769978,1.76578920659048e-23,1.53762401553889e-20
"ECPAS",4.34971374898071,1.91125874649993e-23,1.55334369190538e-20
"TRIM16",2.73475899653543,2.52124453540295e-23,1.92103075819359e-20
"UBALD2",2.98189366302693,3.12874262313953e-23,2.03752554955855e-20
"BPTF",3.69119230443377,3.1330890650346e-23,2.03752554955855e-20
"RPTOR",-3.41772299523786,3.1755381381029e-23,2.03752554955855e-20
"UBE2R2",-2.58218057836572,4.03776561543608e-23,2.46122003088906e-20
"UNC119",10.4530716182617,4.71259102408728e-23,2.73577129403086e-20
"MTLN",2.1649467182872,1.32718164352793e-22,7.35439609829498e-20
"FEN1",-3.58859000709833,1.53735356684243e-22,8.14864231885917e-20
"ERAP2",-2.44796925971172,1.74083992915834e-22,8.8427414901539e-20
"VIRMA",3.57544420255735,2.11089332007679e-22,1.02935601860225e-19
"CUL5",2.60911469192418,2.67760069923385e-22,1.22689719927695e-19
"CCDC69",-2.64869757160787,2.81391936506702e-22,1.22689719927695e-19
"APOL4",-2.85241763686591,2.8179084225867e-22,1.22689719927695e-19
"ZDHHC11B",2.23937831766493,4.88130529794236e-22,2.05199975473156e-19
"MRPL13",3.13310636759562,5.57416142728825e-22,2.26515339866904e-19
"SF3B2",-2.14103805724932,7.27225380297833e-22,2.85987245522932e-19
"FAAH",6.52376276505326,8.47752287265384e-22,3.22967129189134e-19
"COX17",2.34747669653344,1.01762327385241e-21,3.75934707016202e-19
"SUN1",3.16168034697299,1.10280776787186e-21,3.95421455827231e-19
"DNAJC30",-2.82217154562962,1.57550672729744e-21,5.41536718693556e-19
"CCNE1",2.13577238513472,1.59915690861849e-21,5.41536718693556e-19
"DAGLB",2.41513391101203,1.81530152479666e-21,5.98117321318813e-19
"CRTC3",2.28508285782699,1.9290108693714e-21,6.18857144960703e-19
"ATF7IP2",2.7169054187357,2.09516214083657e-21,6.54926196383043e-19
"RARG",-2.47298419577067,2.48719671725083e-21,7.58035379500122e-19
"PPP6R3",3.60400634044274,3.54169633757133e-21,1.05309317198371e-18
"PTPN12",1.70505477439041,3.64810102415616e-21,1.05890475203542e-18
"MYL6B",-2.37444548334789,3.83389654771915e-21,1.08695425147079e-18
"MMADHC",1.76890788740018,4.22648638238366e-21,1.17102489744635e-18
"PRRC2C",2.39865382617486,6.38781746272569e-21,1.73053072640197e-18
"VAV1",-1.79948526991331,8.77866779061974e-21,2.32653780511838e-18
"MAN2B1",4.42682595796581,9.91951630387558e-21,2.57295368639462e-18
"NPIPB3",-2.7304887641661,1.1554272817313e-20,2.93454458158047e-18
"AJM1",6.3554775330607,1.27309787700693e-20,3.16741555481459e-18
"TMEM179B",-9.51641866500173,1.96763523251663e-20,4.79748822392206e-18
"TNRC6A",-2.33483120525155,2.05501357025223e-20,4.91228832057743e-18
"HIGD2A",2.47591896276395,2.10012276434029e-20,4.92357627309086e-18
"TMEM43",2.73373102788687,2.16418803393254e-20,4.97804081540973e-18
"WASHC3",3.98996320642768,2.43432765088871e-20,5.49572007258968e-18
"MOCS3",2.31056977139053,2.82198381539903e-20,6.25505539882357e-18
"HBP1",-1.96183804048395,2.93149629600622e-20,6.38176274010925e-18
"NECAB3",-4.07030201692056,3.053431872776e-20,6.53059437912495e-18
"ZBTB24",-3.56250164188892,3.14367081140784e-20,6.55671845083173e-18
"MCM8",4.00217500174229,3.18688874904226e-20,6.55671845083173e-18
"MYPN",1.93701075898062,3.22699620252566e-20,6.55671845083173e-18
"MRPS18B",1.90951505836907,3.8066393205326e-20,7.60766228796933e-18
"RFC2",-1.99715907063278,5.57745691530472e-20,1.06874217818484e-17
"AZIN1",-1.5428631417146,5.59154097438326e-20,1.06874217818484e-17
"ITGB3BP",2.70585874551799,5.68901903027572e-20,1.06874217818484e-17
"TCAF1",-4.55112297789215,5.69832184250794e-20,1.06874217818484e-17
"MAP4",-3.48421207074195,5.83876835472469e-20,1.0784912880674e-17
"PRKAG2",-3.28889805394532,6.36489317324075e-20,1.1581255623131e-17
"KRT80",7.87994633139514,7.09374809348335e-20,1.26190117677646e-17
"RNF139",-2.51262875459678,7.14225093901857e-20,1.26190117677646e-17
"MKNK1",1.43314005554893,7.50428139536962e-20,1.30692420701359e-17
"GSTM4",-2.05281159526398,7.99627849543568e-20,1.37299480475854e-17
"11-Sep",-1.9192111923885,8.55514619728796e-20,1.43071432903065e-17
"ARMCX6",-2.64284477627482,8.56715167084222e-20,1.43071432903065e-17
"ENO3",1.71384450492751,1.02878038645965e-19,1.694846174504e-17
"COQ8B",2.49190939696686,1.07216116664784e-19,1.74276223768051e-17
"WDR12",2.62438485406925,1.09350214700375e-19,1.75406377291089e-17
"MED25",-1.89522454847118,1.25399731316391e-19,1.98538717464691e-17
"FBRS",9.53405779870942,1.52401065742741e-19,2.38195050316635e-17
"NOTCH2NLA",6.36261176283165,1.73358493459018e-19,2.6752068275429e-17
"NEBL",4.94240164126382,1.79273553417949e-19,2.73190486214777e-17
"TREX1",2.88212932690923,2.0278808652227e-19,3.05208587999135e-17
"MVB12B",3.42025840071376,2.161245527619e-19,3.21313953990283e-17
"PAX2",4.95287255318931,2.25270635759788e-19,3.27256640001508e-17
"ANKRD36",2.29260478885812,2.25490589452274e-19,3.27256640001508e-17
"SFT2D3",-1.63413870219738,2.47419241460615e-19,3.54857408546631e-17
"SETDB2-PHF11",-1.6425625211526,2.55611950301784e-19,3.62344800712679e-17
"DHCR24",1.82858387528258,2.87952126574057e-19,4.03497054605095e-17
"PSMA7",1.78086821498583,3.16345436666455e-19,4.38246274818267e-17
"CHRNA7",1.90449364841235,3.23023517885971e-19,4.424696299492e-17
"DHRS4",-2.88972832680978,3.29875550844998e-19,4.46834760039041e-17
"IRF2",-2.52812171308947,3.63829569198279e-19,4.87411678911672e-17
"ARHGAP31",1.86654549462084,3.82668490118097e-19,5.07077343807578e-17
"NDUFS2",-2.14925164094782,4.39445962295327e-19,5.76052228638961e-17
"HGS",6.84239096049648,4.69129412943844e-19,6.08420922680681e-17
"MAPKBP1",-1.82094561497705,4.78040714419895e-19,6.1345203678873e-17
"FAM3C",1.20053379119894,5.80541430696744e-19,7.37227143919168e-17
"CEP126",1.76440134595918,5.97441613446986e-19,7.4549014333781e-17
"RIPK4",-1.41870944700918,5.99278435297395e-19,7.4549014333781e-17
"HR",2.57166156592713,6.11353178078741e-19,7.47215030782231e-17
"KRT32",1.56394904750469,6.12923493382193e-19,7.47215030782231e-17
"RHOB",-1.63277885692128,6.82101500944439e-19,8.2331677208056e-17
"RBM3",-5.82026443382297,7.08984224864891e-19,8.47375165228224e-17
"SNRNP25",-2.28919136461392,7.17258502739006e-19,8.4894159290206e-17
"FOXO6",2.14581853926254,7.73443181053087e-19,9.06639021174825e-17
"RFC3",-3.49717273904122,8.23083523618314e-19,9.55639165374368e-17
"DNAJB1",1.79318699895831,8.90476343172036e-19,1.0178975114894e-16
"SRF",-2.17162081424381,8.93405247554469e-19,1.0178975114894e-16
"NUTM2A",1.55818113546092,9.33732023096558e-19,1.05399324940464e-16
"CLPP",-1.63000030438644,9.5941983978886e-19,1.07305387769413e-16
"EDC4",1.32672651069625,1.00902048266424e-18,1.11826988219634e-16
"BCL10",-3.20525651644056,1.03654947216483e-18,1.13843014551003e-16
"FAR1",-1.90940233084225,1.0528116617829e-18,1.14596669364244e-16
"SRCIN1",5.28999332980668,1.14703927710245e-18,1.23748281656247e-16
"NPNT",2.71943745890707,1.1618309519124e-18,1.2424457135758e-16
"KANSL3",2.30199792886876,1.21284953970356e-18,1.28572597726314e-16
"RPL14",-1.59111333674757,1.42526569882351e-18,1.4908310472634e-16
"THAP2",-2.16732634952928,1.43078691272101e-18,1.4908310472634e-16
"METTL6",-1.35866576141479,1.96063569659139e-18,2.02560252348691e-16
"RAB33B",1.24635786114646,1.99257956107063e-18,2.04130566630353e-16
"SMC1A",-1.3994795589722,2.03803828967518e-18,2.07047706578585e-16
"ZNRF1",-1.76548792368791,2.35306367612567e-18,2.37076027071472e-16
"C2CD2",-2.03172303209247,2.78098122064558e-18,2.77892967712215e-16
"FXR1",1.45977094581233,3.64796794848186e-18,3.61564042763759e-16
"ZNF282",1.19866448746501,3.89553723040139e-18,3.82987857869543e-16
"MTCL1",1.40483430119897,4.19642006622727e-18,4.09268456219014e-16
"PGAP1",1.59279660332235,4.23123170203152e-18,4.09388457773541e-16
"EIF4G3",2.18048678429606,4.28357004411825e-18,4.11188995337366e-16
"CEP170B",2.63207815280431,4.75750280109951e-18,4.53114973814095e-16
"TMEM203",4.17425416696938,4.89271473839016e-18,4.62380506788484e-16
"SFMBT1",1.86121878111481,5.66592468308206e-18,5.31332983165026e-16
"HAUS7",-1.73763746317114,5.9488417636136e-18,5.51714634503265e-16
"PCM1",1.33908299396562,5.97377834094258e-18,5.51714634503265e-16
"MRPS28",1.81588506927462,6.52989042154137e-18,5.97521023783106e-16
"MEAF6",-1.49720636860332,6.56778091927949e-18,5.97521023783106e-16
"CEP41",1.17843511903525,6.92392550664643e-18,6.25256117418715e-16
"FCRLB",2.1783334145281,7.25217099500114e-18,6.50082475000433e-16
"GALNT11",1.69639118704073,7.48594673039018e-18,6.66139975110852e-16
"CCDC66",1.35563239319306,7.59714307422666e-18,6.69749006816449e-16
"ZNF704",-1.28600581105045,7.63638027622726e-18,6.69749006816449e-16
"ZDHHC7",1.27966458233516,7.88292078224068e-18,6.86433480402115e-16
"C5orf15",2.11397257458882,8.12924517734234e-18,6.96630140842064e-16
"GLT8D2",1.35446641958046,8.18916691545323e-18,6.96630140842064e-16
"CCDC90B",2.62261957441634,8.21722341301569e-18,6.96630140842064e-16
"TMOD1",8.43025227912388,8.25689606120691e-18,6.96630140842064e-16
"PIK3C2B",-1.24579754131615,8.28573295235003e-18,6.96630140842064e-16
"RET",-1.33211554455671,8.49791301848931e-18,7.03585601272696e-16
"FAIM",-2.61108558186958,8.50501779726842e-18,7.03585601272696e-16
"SHOC2",2.52103552107833,8.54160191849389e-18,7.03585601272696e-16
"PANK1",-2.17165912182263,8.62415374609735e-18,7.05617841064918e-16
"ZNF207",11.6379743252386,8.99749580376711e-18,7.27623549641245e-16
"BAG1",2.3842197694494,9.01248101023936e-18,7.27623549641245e-16
"TSPAN12",1.97408569854903,9.22702599673099e-18,7.40043907408865e-16
"NAT16",3.32071028281638,9.90900345644995e-18,7.89001146150694e-16
"TRIQK",2.33091480868193,9.96687527743474e-18,7.89001146150694e-16
"YIPF3",-1.81206382129946,1.04427273932339e-17,8.21337352586547e-16
"PDIA6",-1.49075315888558,1.08572151023246e-17,8.48463521233582e-16
"FANK1",-3.41863318449057,1.1153397415637e-17,8.6605775728682e-16
"MYDGF",1.63054775028874,1.13372664607356e-17,8.74763388752071e-16
"STEAP1",1.42220013063978,1.28763027508155e-17,9.8726419393202e-16
"MTX1",1.77798533650707,1.32872565658854e-17,1.01240590496693e-15
"SERINC3",-1.36238382361818,1.46711740361867e-17,1.11090858804442e-15
"AKAP1",-2.24460013844161,1.57081567231601e-17,1.18208727538299e-15
"LOC107985939",1.75200609948505,1.62614807492098e-17,1.21621909088108e-15
"GPRIN3",-1.76944660345766,1.64333764525371e-17,1.22158105081024e-15
"CLYBL",1.82557136933373,1.73440739509927e-17,1.2814642759791e-15
"MIER1",-1.32413699007868,1.75669398096331e-17,1.29011182662191e-15
"TAB2",1.22418250908843,1.79829436585722e-17,1.31275488707577e-15
"COX6B2",-1.74318334685184,1.81462536818989e-17,1.31679153950017e-15
"TBC1D25",1.28871631309638,1.87598931051708e-17,1.35326542511915e-15
"SLC29A1",-1.88014555435328,2.08307716740219e-17,1.49381139692942e-15
"SMAD9",-3.54472715129794,2.14494846604518e-17,1.52918519003256e-15
"FAM210A",1.38476285175751,2.25630745218251e-17,1.59922349706727e-15
"RMI2",1.50975760127839,2.2703759709311e-17,1.59989326367752e-15
"H3F3C",1.41777292642507,2.42564975106356e-17,1.69948828248367e-15
"ATG5",-1.61681570860649,2.51931834007764e-17,1.75502913622209e-15
"CCNK",1.25254000002841,2.79451323341602e-17,1.93567675162356e-15
"SIRT2",-1.457604182546,2.86891153529651e-17,1.97598308061016e-15
"PKIB",-1.9058989911695,2.90932935732103e-17,1.99256371882588e-15
"ZFP36",-2.81266581082567,2.95870425213404e-17,2.01505941551766e-15
"C12orf65",2.02308701227967,3.27734874901499e-17,2.21967547773566e-15
"CRLF1",4.01331044096862,3.34531560010275e-17,2.2531901923123e-15
"CDC7",-1.8415573373915,3.36459929629976e-17,2.25372692424123e-15
"NSMF",1.28798379080508,3.48650753337533e-17,2.32262367974747e-15
"GPN3",5.76457407956181,3.54681642614258e-17,2.34995864408175e-15
"NFKBIB",2.47164936142925,3.81181311317704e-17,2.51188181960764e-15
"VAMP7",-1.88837764564478,4.01889367051034e-17,2.6341039106017e-15
"FZD2",-1.33069225184817,4.46890196766546e-17,2.91338951271709e-15
"CDK12",1.60523866857089,4.53217213774756e-17,2.93892077294045e-15
"MBLAC1",4.78594439335577,5.11485009661646e-17,3.29921362581223e-15
"BORCS8-MEF2B",-1.27819451953389,5.36425919842801e-17,3.44187809937031e-15
"DHX38",1.27310410395928,5.59136909593551e-17,3.56881574076177e-15
"DNLZ",4.73909144292413,5.76207328396979e-17,3.65861642733728e-15
"COL4A5",1.4367835304469,5.96113884758606e-17,3.7654012275089e-15
"ARHGEF11",-1.88009546098515,6.12825732756781e-17,3.8465420144182e-15
"TMEM37",1.09536617794335,6.17215966344048e-17,3.8465420144182e-15
"UBE2F",1.47166206988384,6.18425260295273e-17,3.8465420144182e-15
"SERTAD3",1.2784083295533,6.92941430647171e-17,4.28814669087293e-15
"RNPC3",-1.26683558154456,7.34522560474124e-17,4.5165045870818e-15
"CSTF2",1.77867588538007,7.37252409834532e-17,4.5165045870818e-15
"TTC38",1.55239012178317,7.577559879278e-17,4.61890162441391e-15
"UBE2J2",1.2660191176904,7.65157007828621e-17,4.62060100268298e-15
"HIST3H2A",-1.53651524971042,7.65615127997672e-17,4.62060100268298e-15
"DNA2",1.62710389791295,7.8423824513085e-17,4.70967903763064e-15
"KANK1",-3.83244682234127,7.96606415536352e-17,4.7605043195116e-15
"XPOT",-1.42430780816612,8.07985421571269e-17,4.80495135335382e-15
"GPS2",2.49987023277535,8.24051966008005e-17,4.87670753281727e-15
"KMT5B",1.46903282974432,8.9211245673181e-17,5.25398210628865e-15
"ALOX12B",-1.66453233369101,9.27984366241284e-17,5.41322060551888e-15
"RMI1",1.38589235608043,9.28031421994459e-17,5.41322060551888e-15
"TMEM168",1.26072206295382,9.61869299642486e-17,5.58388030092455e-15
"LOC107984026",1.89973029881456,1.03674305733333e-16,5.99001640376804e-15
"OXNAD1",-1.726403725907,1.0942230754189e-16,6.29229882661881e-15
"GADD45A",3.66164243536072,1.22113893422512e-16,6.98915715828097e-15
"MGMT",1.01881248533133,1.23808664892384e-16,7.05304408272454e-15
"NDUFS3",1.00437125717241,1.30654556029952e-16,7.38901695895866e-15
"HS6ST2",-1.31335865343161,1.30918518836443e-16,7.38901695895866e-15
"ZNF436",-1.66349996942476,1.31712403809455e-16,7.399566427839e-15
"TNNT1",1.07775790692395,1.3599728064183e-16,7.60524242341539e-15
"GAR1",1.28515578649057,1.63537421300596e-16,9.10358311906654e-15
"TAX1BP3",-1.65475329519199,1.65021792524292e-16,9.14445760301658e-15
"SNRNP48",0.974374020323501,1.7055229536999e-16,9.40815851970834e-15
"PLXND1",1.52134907570837,1.78542920735486e-16,9.80457994002841e-15
"BCOR",1.12499969754201,1.79356775295079e-16,9.80510514628838e-15
"FTSJ1",-2.77544909028419,1.84928141143354e-16,1.00645489673153e-14
"TTF2",2.6576437435458,1.97878125265776e-16,1.0721476556067e-14
"SLC39A14",-2.17380903805187,2.02055197684343e-16,1.08514502611713e-14
"NEK7",-1.51774390056077,2.02057190491829e-16,1.08514502611713e-14
"RNF166",1.18389456386513,2.02976868074013e-16,1.08530306960101e-14
"SCAF4",1.34795450045108,2.03881961238739e-16,1.08538209146789e-14
"ATP5F1B",1.23366512694689,2.08262689683171e-16,1.10388280431632e-14
"NAPRT",-1.06544068110107,2.13080998897808e-16,1.12453266561176e-14
"TRPT1",1.15004276423494,2.14844839737638e-16,1.12895406950066e-14
"MEMO1",1.6990987318812,2.20875016122737e-16,1.15565979465763e-14
"ZKSCAN5",3.02234537598559,2.27775453272414e-16,1.18667117557436e-14
"PREB",-1.33136477125663,2.41450254462317e-16,1.25256172431919e-14
"TMEM25",-2.18798295703017,2.47497963395678e-16,1.2784947761681e-14
"DCLK2",1.97484060395006,2.51788001288187e-16,1.2951677315208e-14
"SSH1",-1.36253347582238,2.76738856093095e-16,1.41753083808022e-14
"ZBED6",1.01287214034836,3.08143249854754e-16,1.57178843471937e-14
"B3GNT7",1.27747097396421,3.34437421235857e-16,1.69880275095264e-14
"BAD",1.14435222826604,3.49816169850228e-16,1.76954727246644e-14
"HTD2",1.69811113495767,3.55661840170946e-16,1.79168326178678e-14
"RPL7A",1.45185026298231,3.61107696203999e-16,1.8116312446185e-14
"NMU",-1.36625484121221,3.63361391902042e-16,1.81546669208106e-14
"ZNF576",3.60852011025791,3.65122572463833e-16,1.81682011465575e-14
"FSD1",2.69470610162437,3.66766112523767e-16,1.81757954381189e-14
"THAP10",-1.97491754074991,3.95213874920399e-16,1.9506284814391e-14
"MARVELD2",-1.27058343985544,4.12991989971642e-16,2.03015538296141e-14
"VPS13B",1.10292999095859,4.19428275885079e-16,2.05351410092972e-14
"MRPS34",4.20616771872588,4.67291899141892e-16,2.27870221697552e-14
"EPHX1",1.59920409636999,4.76905317688965e-16,2.31045008925757e-14
"GMPS",2.45425645665067,4.77592832821678e-16,2.31045008925757e-14
"GTPBP1",1.22139745125225,4.89304688170704e-16,2.35775235315773e-14
"FBN1",1.20401899179511,4.91705243618206e-16,2.3599915846258e-14
"ZCCHC9",1.13503833669478,5.1690246878406e-16,2.47119921448882e-14
"SART1",-1.62102520542678,5.44574956437978e-16,2.59332550544351e-14
"ZNF585A",6.65081988558211,6.02721802072134e-16,2.8498941450628e-14
"SP100",-1.28307146861146,6.03127462411782e-16,2.8498941450628e-14
"PSPC1",2.92275050044778,6.10027665014426e-16,2.87136960007369e-14
"SYNGR2",-1.81255770293934,6.19303597186517e-16,2.90381928973109e-14
"C19orf48",1.08368352952545,6.34285350160906e-16,2.96267153402744e-14
"PDPK1",1.60075204179122,6.56366227424503e-16,3.05163261041786e-14
"CDCA2",2.56995384614866,6.5833760687384e-16,3.05163261041786e-14
"RPUSD1",-1.49068705208372,6.85002158828501e-16,3.15319891323346e-14
"CLUAP1",3.20369659436482,6.85421796412818e-16,3.15319891323346e-14
"PCGF1",-1.56183555679673,7.0266251990853e-16,3.22036044368605e-14
"MTHFD2",-1.21787274143864,7.87619481845128e-16,3.59620565661946e-14
"FGF11",1.07836189423452,8.25259260474178e-16,3.75400583747787e-14
"TTYH2",1.25708758335561,8.6843735211882e-16,3.93573225266934e-14
"SLC7A2",1.15121781951602,9.06977223009701e-16,4.0951701206338e-14
"TRAF3IP1",2.20422537692673,9.20613182072792e-16,4.14140048068244e-14
"BUB1B-PAK6",-2.12311672047834,9.84415850755026e-16,4.41213736638034e-14
"CEP85L",1.11601729132511,9.93224685530843e-16,4.43531213967271e-14
"RHOBTB1",-1.67165111489949,1.010403205751e-15,4.49555674500382e-14
"RIT1",-2.16354013663005,1.05745981081923e-15,4.68781547407174e-14
"RASGRP3",3.67264874814428,1.06671591135919e-15,4.71171509977533e-14
"MSI1",-1.96131484639516,1.09831004225367e-15,4.83375369137709e-14
"CHST15",1.16644473854655,1.10458750943686e-15,4.84389436242619e-14
"CIB2",1.38704917462182,1.16449845399783e-15,5.08831564612458e-14
"KLHDC4",-3.03826492997627,1.19815109019366e-15,5.21666426448247e-14
"ANKRD54",1.5911303646906,1.29206647609872e-15,5.60554534167954e-14
"ACSL4",2.09409332411539,1.30604635006598e-15,5.64610321051575e-14
"ACD",3.75501074033219,1.3228463989135e-15,5.69852312690971e-14
"LOC100996842",1.44321537507906,1.34625743484932e-15,5.77895224938311e-14
"IQCG",2.72907740910043,1.35111608411553e-15,5.77945830928156e-14
"HELB",0.984637688995426,1.37505376629999e-15,5.86128687586127e-14
"NUB1",1.60886010050079,1.40085320127985e-15,5.95045344139467e-14
"RPS6KA1",1.18178790832392,1.49424207917299e-15,6.32510596777708e-14
"DNAH12",6.55984117465586,1.51026727575423e-15,6.37081950128715e-14
"RNF208",1.46517176025436,1.51701714166937e-15,6.37722619796252e-14
"PROS1",1.01460677267874,1.54794551660709e-15,6.48488102850758e-14
"DGCR6L",1.26260412952361,1.58008468428682e-15,6.59685355689746e-14
"ZNF32",3.88099996994282,1.64671364385967e-15,6.85156519873491e-14
"ARFGEF3",1.1336326494621,1.67306994303447e-15,6.93754954950109e-14
"STPG1",-2.29361970170229,1.69697670115645e-15,7.01282812332145e-14
"SIK1B",0.912425945290359,1.72052179061239e-15,7.06705925138222e-14
"CEP170",1.0673943392169,1.72169354249899e-15,7.06705925138222e-14
"BACH1",0.792647536377248,1.79073791548824e-15,7.32580064688496e-14
"ATXN7L1",3.20555455957722,1.83807542119126e-15,7.49430684272329e-14
"ARHGEF1",1.27843027767983,1.86188613036934e-15,7.56608460511089e-14
"EGLN3",1.29835706680624,1.9744541750965e-15,7.99686739156192e-14
"C17orf49",1.14777384445586,2.01129601245534e-15,8.1159505842687e-14
"MRPL50",1.3072054432788,2.01717088592684e-15,8.1159505842687e-14
"MFSD8",-1.87697816569549,2.15362892046714e-15,8.6364770294128e-14
"HSCB",1.02641712151195,2.2057585247122e-15,8.8165253032021e-14
"NDRG3",2.36021031500187,2.24977569556992e-15,8.96307696231794e-14
"HSP90AB1",1.47033889953116,2.44156099591983e-15,9.6954625736999e-14
"RABGEF1",1.62422171964766,2.62658029924097e-15,1.03963118272879e-13
"PDK2",1.68240294713281,2.69903745918325e-15,1.06485325776385e-13
"SPRED3",1.62975892719303,2.7416041940804e-15,1.07815795903336e-13
"UTP3",-1.65089615875267,2.89762820493759e-15,1.13585162207055e-13
"FAM13A",-1.35154276056177,2.91870007048317e-15,1.14044463330962e-13
"DGKZ",-1.02720046014935,3.01410679079945e-15,1.17396089094684e-13
"IL27RA",-1.24430901802672,3.18163576544546e-15,1.23526501963521e-13
"TRA2B",1.28431647987861,3.20878882752032e-15,1.24185220940635e-13
"OLFML2B",-5.93216374191824,3.27440446382768e-15,1.26323622843428e-13
"ERICH2",-1.21006098436913,3.3196609896897e-15,1.27665574527783e-13
"SMAP1",1.25670139740846,3.35576591005607e-15,1.28648245941804e-13
"MUL1",6.22358739525837,3.37052239071498e-15,1.28808898010051e-13
"EIF2B1",1.06688641290871,3.44898548108605e-15,1.3139556874975e-13
"COPS7B",0.947261914327408,3.4927899146021e-15,1.32649849996617e-13
"KIAA1586",1.53982641584022,3.75542517956065e-15,1.42181330323056e-13
"KIAA0825",0.922286993641078,3.86100152542356e-15,1.45725912063277e-13
"ANKRD10",2.67707015928728,3.87321230116796e-15,1.45735590010922e-13
"SUN3",-1.36777669973165,3.91448001266173e-15,1.46835156413413e-13
"HSD11B2",1.55690795090336,4.09222500426078e-15,1.53031641186942e-13
"NXN",1.02081271516574,4.12568018671557e-15,1.53810908734708e-13
"FLII",-1.54976992344365,4.40002574778372e-15,1.6353876186351e-13
"ADNP",2.87256773279854,4.4622638731915e-15,1.65069793757222e-13
"CNIH1",-1.44757744212676,4.47606834456281e-15,1.65069793757222e-13
"IPO5",2.42128282265518,4.4818392038094e-15,1.65069793757222e-13
"ZSCAN30",-1.46392216763263,4.51710699549285e-15,1.65867624644739e-13
"ALDOC",-2.51584053963071,4.839149491269e-15,1.77159373717899e-13
"METTL26",3.6586508292556,4.87448329982178e-15,1.77918640443495e-13
"ZBTB17",2.45677447297208,5.11509946836587e-15,1.86143813787607e-13
"AKAP8",-1.84463485632409,5.49315430208272e-15,1.99306678859198e-13
"ALDH4A1",-0.950131354227123,5.55827590699172e-15,2.01071043270433e-13
"SURF1",-2.10243808757144,5.90024737560482e-15,2.12810401644965e-13
"WASHC1",1.05471432834821,5.93973822402245e-15,2.13602798492796e-13
"USB1",-1.01224750210794,5.9707268611364e-15,2.14085679894452e-13
"NPIPA8",0.874413334508319,6.25728809066588e-15,2.23702636695917e-13
"TADA2B",-1.99880146302659,6.31362139973913e-15,2.25056603755029e-13
"VPS51",0.984508754337382,6.62943925257941e-15,2.35625346729433e-13
"ZBTB34",-1.43055062097184,6.87250815489657e-15,2.43554496849837e-13
"IER3",2.97116665637908,7.08529884202106e-15,2.49807128255668e-13
"PGAP3",0.864173769019757,7.08992423726201e-15,2.49807128255668e-13
"CENPH",-1.21937203704979,7.15537819716692e-15,2.51386788477412e-13
"ZFAND4",0.914659527935574,7.28196951284767e-15,2.55099110146913e-13
"RNF122",1.15250786496033,7.5462069156203e-15,2.63598305181453e-13
"MOCOS",-1.68698775974501,7.98791023008593e-15,2.78230324614222e-13
"MOAP1",1.25204511616879,8.54284863492942e-15,2.96711873813175e-13
"ARHGEF26",0.973853085761638,8.63189588136241e-15,2.98952962186617e-13
"FAM160A1",6.58764040408833,9.07562847382016e-15,3.13430557292752e-13
"RPIA",3.46615583853301,9.28879062805504e-15,3.19886007193839e-13
"AP1S3",1.7454621459558,9.66616058679465e-15,3.3194412313694e-13
"CCDC159",1.49675680097398,9.88337686753378e-15,3.38450133123889e-13
"LOC105379561",-1.15338785946952,1.0087636292583e-14,3.44477238215348e-13
"NUDT16",2.00869974973241,1.04459989127692e-14,3.55718359624495e-13
"MITD1",1.91446607615745,1.05384886237792e-14,3.57868286385774e-13
"KRIT1",1.2467802881126,1.06904853860056e-14,3.62021409279983e-13
"NOTUM",1.08292618327698,1.16851731430907e-14,3.94609268109194e-13
"CD164L2",0.941722179128533,1.18372096826527e-14,3.986392907216e-13
"ADM2",1.50720595669634,1.19260953439899e-14,4.00526248866612e-13
"XYLT1",-2.02633353888223,1.21029523740544e-14,4.04909307889941e-13
"UTP15",-1.34550669849775,1.21230331703575e-14,4.04909307889941e-13
"FGFR4",1.07162641592733,1.23338390696347e-14,4.10824677863162e-13
"CHAF1B",-1.50423366524433,1.30716280134257e-14,4.34213125644886e-13
"CIPC",-1.55295683925495,1.3170821425199e-14,4.3631924998533e-13
"DCLK1",1.53317615192547,1.36625063022196e-14,4.5138106864596e-13
"BCL2L2",-1.10307463594281,1.37290781699323e-14,4.52354572890932e-13
"RAD54B",1.15302422138442,1.38548439207856e-14,4.55267930561449e-13
"RILPL2",1.03975001461843,1.43353503741124e-14,4.69791011857002e-13
"LEPROT",-1.23132236442893,1.47671814206516e-14,4.82645331633146e-13
"SGPL1",1.00665390178689,1.59692959596158e-14,5.20539270170256e-13
