"Gene_Name","logFC","PValue","FDR"
"LIN7A",-0.24112075839377,0.000490644584776143,0.00103039588854539
"BFAR",0.226563432235136,0.000494002501317839,0.00103726911704543
"DNAJC10",-0.325813180258723,0.000494467411686031,0.00103794497801249
"GGA1",-0.460325330011897,0.000494494662644292,0.00103794497801249
"PSD3",0.175542234089077,0.000495101929436244,0.00103904073364731
"RGS20",-0.253784842340172,0.00049559581170636,0.00103989819974393
"CPT1C",0.763681162760243,0.000498685146842177,0.00104620041733832
"CLPB",1.54564426429091,0.000498886433238602,0.00104644262002956
"AGAP5",-0.260007151793339,0.000499002036805311,0.00104650504570679
"LIMS4",-0.365599779190619,0.00050135436029287,0.00105125748302896
"OLA1",0.273709376403063,0.000502665798392971,0.00105382609599462
"PSMB10",-0.249909201024662,0.000503495348520183,0.00105538373346107
"TOR1A",1.38852388027479,0.000504853635804901,0.00105793679168609
"F2RL1",-0.283527068357748,0.000504958034913992,0.00105793679168609
"ZCCHC12",-0.471612688225465,0.000504973684752796,0.00105793679168609
"CASP6",0.166842751921419,0.000505419747353393,0.00105868937113148
"FABP5",0.323319272265394,0.000505611575213115,0.00105890924470419
"AARS",-0.575426916486056,0.000506265125640632,0.00106009586854774
"XPNPEP3",-0.350963636220172,0.000506677913451677,0.00106077802556919
"M6PR",0.811831744644348,0.000511103229884185,0.00106985911324143
"OR51B5",-0.40753808867256,0.000511355146655236,0.00107020267688824
"MCM5",0.280555640118354,0.000511503838510813,0.00107033012277469
"HIPK1",-0.626091919428607,0.000511647555773201,0.00107044711728696
"LAMC2",-0.244427475534098,0.000512047479276786,0.00107110000340825
"PODXL2",0.390452507710084,0.000513122224359002,0.00107316401392359
"NECTIN1",-0.21904127163074,0.000514033037701791,0.00107488452189066
"RARA",-0.525878563639408,0.000514411943600711,0.00107549236913673
"YDJC",0.369244515911697,0.000515299354346227,0.00107716296790721
"NOTCH3",-1.66013318846049,0.000516621910892826,0.00107974245083052
"PIN4",0.212497667959115,0.000519487635260503,0.00108554572531039
"NKAIN1",0.568218956510647,0.000520548364821175,0.00108757585527591
"CEP164",-0.251892571388217,0.000520860554828697,0.00108804164220642
"CAMKMT",0.474234014874437,0.000522940965286583,0.00109220032684748
"AOC3",0.174153216680251,0.000523801011821666,0.00109380920437101
"OGFR",-0.903915478461909,0.000524703879719015,0.00109550693571751
"DOCK6",-0.687922908025456,0.000526083453074452,0.00109819920829292
"TANGO2",0.291399393571536,0.000526359670955298,0.0010985876987872
"ASB7",0.306838769692291,0.000527542640799497,0.00110086825299327
"PDP1",0.19062439233624,0.000527876896035674,0.00110134314845339
"RAB3A",0.322520690090025,0.000527950894886522,0.00110134314845339
"XYLB",0.236272804011776,0.000528105806433658,0.00110145611607869
"DDHD2",1.24777841045051,0.000528185748059716,0.00110145611607869
"S1PR1",0.346407565040166,0.000529027643387076,0.00110302308885443
"SYT5",-0.235687487055824,0.000530019663740789,0.00110490248301367
"DAAM1",0.443354792881578,0.000530793113467248,0.00110632567041874
"CNOT3",1.49594316954429,0.000531392955248685,0.00110738658417722
"UPK3BL1",-0.444833031755346,0.000532088369652603,0.0011086462680627
"SCML1",0.920127865229444,0.000533288040841484,0.00111095599895737
"A4GALT",-0.499745819833174,0.000533515200795555,0.00111123933246175
"SFXN1",0.650352769423179,0.000536313277033241,0.00111680967878816
"RARS",-0.259392137076789,0.000536372788885627,0.00111680967878816
"ZNF81",0.706442474475732,0.000540464868807542,0.00112513784419958
"CMTM3",-0.303171273163491,0.000542890850386216,0.00112999528035827
"ARHGEF40",0.258524184291108,0.000544057147326014,0.00113216434946614
"TPBG",-0.253358310112353,0.000544118687845303,0.00113216434946614
"SNRPB",-0.386570597044567,0.000544299952679641,0.00113234824626578
"GNS",-0.286929034469342,0.000545463218605657,0.00113457466268923
"ZNF34",-0.790380722205979,0.000545756818370896,0.00113499170466728
"PLOD1",0.831415733925743,0.000546502950031377,0.00113621939886367
"NOB1",0.279653141616207,0.000546533553845996,0.00113621939886367
"FGF18",-0.360157886441913,0.000547422298680336,0.00113787301674544
"MYO1B",0.403469909731104,0.00054812879519939,0.00113914731371902
"NFYC",-0.304282607359248,0.000549513063862516,0.00114182951449598
"CRIPT",-0.495868405112887,0.000550385661452392,0.00114344778438414
"ITPKC",-0.993306345046823,0.000550898770802194,0.00114423925349916
"SUMO4",0.413588561211863,0.000550954344847843,0.00114423925349916
"BBS7",1.10698998462033,0.000553710179154989,0.00114976678488817
"KAT5",-1.23043146175865,0.000554129939550222,0.00115044245453964
"MED30",0.481204209855529,0.000554224590820536,0.00115044304217489
"PAFAH2",0.482485460182144,0.000554682739178193,0.00115119803767813
"CPSF6",0.362545144160215,0.000554846591765513,0.00115134209365334
"MKRN2",0.502260523161139,0.000555681012246221,0.0011528773349717
"CLK4",0.348985519188378,0.000557176327820485,0.00115578298663596
"ELMOD1",1.1835086992212,0.00055764648968823,0.00115656147597639
"PSMD5",-0.451904523934845,0.000558126463493057,0.00115736004702226
"GPR137",-0.418835544695052,0.000559311564997769,0.00115962028722582
"CLIC1",-0.495218693007158,0.000560500824749784,0.00116188837859626
"TATDN2",-0.413505844986477,0.000560753599692822,0.00116221474564012
"TERF1",0.232483975155709,0.000563057157408597,0.00116679072003539
"THAP3",0.353423730615255,0.000564327623661356,0.00116922468729701
"ARRB1",0.79758140426651,0.000564784741677968,0.00116997294575975
"KLF5",0.41709810857249,0.000565242665719378,0.00117072261939941
"CDC34",-0.230334456224047,0.000566043909880497,0.00117218299734213
